subject,relation,object,source
2026,film,2020s,https://en.wikipedia.org/wiki/Send_Help
Goat,be,2026,https://en.wikipedia.org/wiki/Goat_(2026_film)
Tyree Dillihay,star,Caleb McLaughlin,https://en.wikipedia.org/wiki/Goat_(2026_film)
Gabrielle Union,star,Aaron Pierre,https://en.wikipedia.org/wiki/Goat_(2026_film)
Goat,develop,2019,https://en.wikipedia.org/wiki/Goat_(2026_film)
Los Angeles,premier,"February 6, 2026",https://en.wikipedia.org/wiki/Goat_(2026_film)
$181 million,receive,eighth,https://en.wikipedia.org/wiki/Goat_(2026_film)
Will Harris,aspire,Jett Fillmore,https://en.wikipedia.org/wiki/Goat_(2026_film)
Ten years later,win,Thorns,https://en.wikipedia.org/wiki/Goat_(2026_film)
Will,face,Andalusian,https://en.wikipedia.org/wiki/Goat_(2026_film)
Will,move,Daryl,https://en.wikipedia.org/wiki/Goat_(2026_film)
The next morning,go,Will,https://en.wikipedia.org/wiki/Goat_(2026_film)
Will,sign,Thorns,https://en.wikipedia.org/wiki/Goat_(2026_film)
Jett,enrage,Will,https://en.wikipedia.org/wiki/Goat_(2026_film)
Will,introduce,Dennis Cooper,https://en.wikipedia.org/wiki/Goat_(2026_film)
Will,place,Jett,https://en.wikipedia.org/wiki/Goat_(2026_film)
Will,sub,Thorns,https://en.wikipedia.org/wiki/Goat_(2026_film)
Jett,anger,Will,https://en.wikipedia.org/wiki/Goat_(2026_film)
Jett,see,Will,https://en.wikipedia.org/wiki/Goat_(2026_film)
Carol,make,Jett,https://en.wikipedia.org/wiki/Goat_(2026_film)
That night,go,Jett,https://en.wikipedia.org/wiki/Goat_(2026_film)
Flo,tell,Jett,https://en.wikipedia.org/wiki/Goat_(2026_film)
Will,overhear,Jett,https://en.wikipedia.org/wiki/Goat_(2026_film)
Thorns,quit,Jett,https://en.wikipedia.org/wiki/Goat_(2026_film)
Jett,apologize,Will,https://en.wikipedia.org/wiki/Goat_(2026_film)
Mane,cause,Jett,https://en.wikipedia.org/wiki/Goat_(2026_film)
Archie,get,Will,https://en.wikipedia.org/wiki/Goat_(2026_film)
Jett,decide,Dennis,https://en.wikipedia.org/wiki/Goat_(2026_film)
Jett,distract,Magma,https://en.wikipedia.org/wiki/Goat_(2026_film)
Mane,burn,Flo,https://en.wikipedia.org/wiki/Goat_(2026_film)
Vineland,celebrate,Thorns,https://en.wikipedia.org/wiki/Goat_(2026_film)
Coughlan,Coughlan,Olivia Burke,https://en.wikipedia.org/wiki/Goat_(2026_film)
Rick Mischel,serve,Fonda Snyder,https://en.wikipedia.org/wiki/Goat_(2026_film)
Aaron Buchsbaum,receive,Teddy Riley,https://en.wikipedia.org/wiki/Goat_(2026_film)
June 2025,announce,the Annecy International Animation Film Festival,https://en.wikipedia.org/wiki/Goat_(2026_film)
The following month,add,Jennifer Hudson,https://en.wikipedia.org/wiki/Goat_(2026_film)
Emily Morgan,design,600,https://en.wikipedia.org/wiki/Goat_(2026_film)
Mercury Records,release,"February 13, 2026.[22",https://en.wikipedia.org/wiki/Goat_(2026_film)
Sony Classical,release,the same day.[23,https://en.wikipedia.org/wiki/Goat_(2026_film)
Los Angeles,report,"February 6, 2026,[24",https://en.wikipedia.org/wiki/Goat_(2026_film)
When To Stream,gross,Sony,https://en.wikipedia.org/wiki/Goat_(2026_film)
$7.1 million,gross,its opening day.[28,https://en.wikipedia.org/wiki/Goat_(2026_film)
$35 million,end,second,https://en.wikipedia.org/wiki/Goat_(2026_film)
opening weekend,mark,Elemental,https://en.wikipedia.org/wiki/Goat_(2026_film)
its second weekend,be,Goat,https://en.wikipedia.org/wiki/Goat_(2026_film)
Metacritic,assign,60,https://en.wikipedia.org/wiki/Goat_(2026_film)
Mark Kennedy,praise,the Associated Press,https://en.wikipedia.org/wiki/Goat_(2026_film)
Brandon Yu,write,the New York Times,https://en.wikipedia.org/wiki/Goat_(2026_film)
Eric Goldman,give,Goat,https://en.wikipedia.org/wiki/Goat_(2026_film)
John Nugent,give,Empire,https://en.wikipedia.org/wiki/Goat_(2026_film)
Owen Gleiberman,call,Variety,https://en.wikipedia.org/wiki/Goat_(2026_film)
Sarto,"""[38",Dan,https://en.wikipedia.org/wiki/Goat_(2026_film)
GOAT':,GOAT,Daring to Stand Tall When You're Built,https://en.wikipedia.org/wiki/Goat_(2026_film)
D'Alessandro,D'Alessandro,Anthony,https://en.wikipedia.org/wiki/Goat_(2026_film)
Goat: Sony Pictures Animation,set,2026,https://en.wikipedia.org/wiki/Goat_(2026_film)
Goat,Goat,BBFC,https://en.wikipedia.org/wiki/Goat_(2026_film)
D'Alessandro,D'Alessandro,"February 10, 2026",https://en.wikipedia.org/wiki/Goat_(2026_film)
Wuthering Heights',height,$70M+,https://en.wikipedia.org/wiki/Goat_(2026_film)
Lang,Lang,Jamie,https://en.wikipedia.org/wiki/Goat_(2026_film)
Stephen Curry,lead,Gabrielle Union,https://en.wikipedia.org/wiki/Goat_(2026_film)
Mercedes,Milligan,"January 17, 2026",https://en.wikipedia.org/wiki/Goat_(2026_film)
Sony,prepare,GOAT,https://en.wikipedia.org/wiki/Goat_(2026_film)
Sony,pick,Zul Ariffin,https://en.wikipedia.org/wiki/Goat_(2026_film)
Sony,set,GOAT,https://en.wikipedia.org/wiki/Goat_(2026_film)
GOAT,set,Sony Pictures Animation,https://en.wikipedia.org/wiki/Goat_(2026_film)
Goodfellow,Goodfellow,Melanie,https://en.wikipedia.org/wiki/Goat_(2026_film)
Stephen Curry,Set,Caleb McLaughlin,https://en.wikipedia.org/wiki/Goat_(2026_film)
Kroll,Kroll,Justin,https://en.wikipedia.org/wiki/Goat_(2026_film)
Jennifer Hudson,join,Aaron Pierre,https://en.wikipedia.org/wiki/Goat_(2026_film)
Zahed,Zahed,Ramin,https://en.wikipedia.org/wiki/Goat_(2026_film)
Bleating the Odds,share,GOAT's Creative Team,https://en.wikipedia.org/wiki/Goat_(2026_film)
Introducing the LO,introduce,@goatmovieofficial,https://en.wikipedia.org/wiki/Goat_(2026_film)
@sneadsbyree,watch,@adam_rosette,https://en.wikipedia.org/wiki/Goat_(2026_film)
Dominique Dawson,break,#GOATMovie,https://en.wikipedia.org/wiki/Goat_(2026_film)
Film Music Reporter,Reporter,"January 19, 2026",https://en.wikipedia.org/wiki/Goat_(2026_film)
Sunday,Sunday,Brian,https://en.wikipedia.org/wiki/Goat_(2026_film)
Goat,carpet,LA,https://en.wikipedia.org/wiki/Goat_(2026_film)
Lammers,Lammers,Tim,https://en.wikipedia.org/wiki/Goat_(2026_film)
Wuthering Heights,heat,$50 Million,https://en.wikipedia.org/wiki/Goat_(2026_film)
Wuthering Heights,take,$11 Million,https://en.wikipedia.org/wiki/Goat_(2026_film)
McClintock,McClintock,Pamela,https://en.wikipedia.org/wiki/Goat_(2026_film)
Wuthering Heights,Office,38,https://en.wikipedia.org/wiki/Goat_(2026_film)
Rubin,Rubin,Rebecca,https://en.wikipedia.org/wiki/Goat_(2026_film)
GOAT,Office,Wuthering Heights,https://en.wikipedia.org/wiki/Goat_(2026_film)
Klein,Brennan,Brennan,https://en.wikipedia.org/wiki/Goat_(2026_film)
Jacob Elordi's,conquer,Week 2,https://en.wikipedia.org/wiki/Goat_(2026_film)
February 12,retrieve,2026,https://en.wikipedia.org/wiki/Goat_(2026_film)
Movie Review: Stephen,review,Curry,https://en.wikipedia.org/wiki/Goat_(2026_film)
0362,ISSN,4331,https://en.wikipedia.org/wiki/Goat_(2026_film)
Goldman,Goldman,Eric,https://en.wikipedia.org/wiki/Goat_(2026_film)
GOAT Review,review,Empire,https://en.wikipedia.org/wiki/Goat_(2026_film)
"February 14, 2026",retrieve,Gleiberman,https://en.wikipedia.org/wiki/Goat_(2026_film)
2026,link,2020s,https://en.wikipedia.org/wiki/Goat_(2026_film)
Fight Club,be,1999,https://en.wikipedia.org/wiki/Fight_Club_(film)
1996,base,Chuck Palahniuk,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler Durden,form,Pitt,https://en.wikipedia.org/wiki/Fight_Club_(film)
Palahniuk,optione,Fox 2000 Pictures,https://en.wikipedia.org/wiki/Fight_Club_(film)
Los Angeles,film,July to December 1998,https://en.wikipedia.org/wiki/Fight_Club_(film)
Rebel Without a Cause,compare,1955,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,premier,56th,https://en.wikipedia.org/wiki/Fight_Club_(film)
2009,dub,tenth,https://en.wikipedia.org/wiki/Fight_Club_(film)
Narrator,move,Tyler,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler,save,Marla,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,grow,Bob,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler,transform,Project Mayhem,https://en.wikipedia.org/wiki/Fight_Club_(film)
two,argue,Tyler,https://en.wikipedia.org/wiki/Fight_Club_(film)
Bob,try,Project Mayhem,https://en.wikipedia.org/wiki/Fight_Club_(film)
Marla,claim,Tyler Durden,https://en.wikipedia.org/wiki/Fight_Club_(film)
Marla,warn,Project Mayhem,https://en.wikipedia.org/wiki/Fight_Club_(film)
one,escape,Tyler,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler,shoot,Tyler,https://en.wikipedia.org/wiki/Fight_Club_(film)
Edward Norton,cast,Brad Pitt,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,say,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,identify,Jack,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler Durden.[10,have,1990s,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler Durden,respond,Nietzschean,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,explain,Tyler,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,seek,Fincher,https://en.wikipedia.org/wiki/Fight_Club_(film)
Marla,embrace,Tyler,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler,be,Tyler,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler,tell,Tyler,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler,realize,Marla,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler,manifest,Narrator,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler,order,Project Mayhem,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler,pull,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
Norton,have,first,https://en.wikipedia.org/wiki/Fight_Club_(film)
Pitt,say,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,probe,1955,https://en.wikipedia.org/wiki/Fight_Club_(film)
Gucci,reference,Calvin Klein,https://en.wikipedia.org/wiki/Fight_Club_(film)
Norton,say,Beetle,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler Durden,pull,Durden,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,publish,Chuck Palahniuk,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fox Searchlight Pictures,send,Kevin McCormick,https://en.wikipedia.org/wiki/Fight_Club_(film)
McCormick,forward,Lawrence Bender,https://en.wikipedia.org/wiki/Fight_Club_(film)
Josh Donen,see,Ross Bell,https://en.wikipedia.org/wiki/Fight_Club_(film)
Bell,send,Laura Ziskin,https://en.wikipedia.org/wiki/Fight_Club_(film)
Ziskin,consider,Buck Henry,https://en.wikipedia.org/wiki/Fight_Club_(film)
Jim Uhls,choose,Donen,https://en.wikipedia.org/wiki/Fight_Club_(film)
Bell,contact,four,https://en.wikipedia.org/wiki/Fight_Club_(film)
Peter Jackson,consider,Jackson,https://en.wikipedia.org/wiki/Fight_Club_(film)
Danny Boyle,meet,Bell,https://en.wikipedia.org/wiki/Fight_Club_(film)
David Fincher,talk,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
20th Century Fox,hesitate,first,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fox,meet,Ziskin,https://en.wikipedia.org/wiki/Fight_Club_(film)
August 1997,announce,Fox,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,meet,Ross Bell,https://en.wikipedia.org/wiki/Fight_Club_(film)
Art Linson,meet,Brad Pitt,https://en.wikipedia.org/wiki/Fight_Club_(film)
Linson,seek,two,https://en.wikipedia.org/wiki/Fight_Club_(film)
Pitt,look,1998,https://en.wikipedia.org/wiki/Fight_Club_(film)
Pitt,sign,US$17.5 million.[29,https://en.wikipedia.org/wiki/Fight_Club_(film)
Narrator,consider,Matt Damon,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,consider,Edward Norton,https://en.wikipedia.org/wiki/Fight_Club_(film)
Norton,cast,Runaway Jury,https://en.wikipedia.org/wiki/Fight_Club_(film)
20th Century Fox,offer,Norton,https://en.wikipedia.org/wiki/Fight_Club_(film)
Paramount Pictures,sign,Paramount,https://en.wikipedia.org/wiki/Fight_Club_(film)
Norton,satisfy,2003,https://en.wikipedia.org/wiki/Fight_Club_(film)
January 1998,announce,20th Century Fox,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,be,first,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,reveal,2020,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,pitch,Julia Louis-Dreyfus.[38,https://en.wikipedia.org/wiki/Fight_Club_(film)
Courtney Love,consider,Winona Ryder,https://en.wikipedia.org/wiki/Fight_Club_(film)
Love,claim,Marla Singer,https://en.wikipedia.org/wiki/Fight_Club_(film)
Reese Witherspoon,want,Fincher,https://en.wikipedia.org/wiki/Fight_Club_(film)
Sarah Michelle Gellar,turn,Buffy The Vampire Slayer.[41,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,choose,Helena Bonham Carter,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,revise,Uhls,https://en.wikipedia.org/wiki/Fight_Club_(film)
Pitt,be,Tyler Durden,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,seek,Cameron Crowe,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,hire,Andrew Kevin Walker,https://en.wikipedia.org/wiki/Fight_Club_(film)
Pitt,invite,Norton,https://en.wikipedia.org/wiki/Fight_Club_(film)
Palahniuk,contain,Fincher,https://en.wikipedia.org/wiki/Fight_Club_(film)
Norton,draw,The Graduate,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,want,Tyler Durden,https://en.wikipedia.org/wiki/Fight_Club_(film)
Mechanic,plan,Ziskin,https://en.wikipedia.org/wiki/Fight_Club_(film)
Half,pay,New Regency,https://en.wikipedia.org/wiki/Fight_Club_(film)
New Regency's,petition,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,threaten,Milchan,https://en.wikipedia.org/wiki/Fight_Club_(film)
Mechanic,seek,Milchan,https://en.wikipedia.org/wiki/Fight_Club_(film)
three weeks,reinstate,Milchan,https://en.wikipedia.org/wiki/Fight_Club_(film)
Julie Pearce,study,Fincher,https://en.wikipedia.org/wiki/Fight_Club_(film)
Mike Tyson,design,Evander Holyfield's,https://en.wikipedia.org/wiki/Fight_Club_(film)
two,devise,Vaseline,https://en.wikipedia.org/wiki/Fight_Club_(film)
Meat Loaf,wear,90-pound,https://en.wikipedia.org/wiki/Fight_Club_(film)
20 cm,last,Norton,https://en.wikipedia.org/wiki/Fight_Club_(film)
Los Angeles,be,Century City.[50,https://en.wikipedia.org/wiki/Fight_Club_(film)
Alex McDowell,construct,more than 70,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler Durden's,build,Wilmington,https://en.wikipedia.org/wiki/Fight_Club_(film)
300,include,200,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,feel,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
Super 35,use,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
Jeff Cronenweth,be,Cronenweth,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,explore,Seven,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler,describe,Fincher,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,draw,Cronenweth,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,ensure,Gordon Willis,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler,film,two,https://en.wikipedia.org/wiki/Fight_Club_(film)
Tyler,insert,Tyler,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,explain,Tyler Durden,https://en.wikipedia.org/wiki/Fight_Club_(film)
Cronenweth,apply,Kodak,https://en.wikipedia.org/wiki/Fight_Club_(film)
night,implement,Technicolor,https://en.wikipedia.org/wiki/Fight_Club_(film)
Kevin Tod Haug,hire,The Game,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,budget,first,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,hire,Digital Domain,https://en.wikipedia.org/wiki/Fight_Club_(film)
Haug,explain,Fincher,https://en.wikipedia.org/wiki/Fight_Club_(film)
Project Mayhem's,be,three,https://en.wikipedia.org/wiki/Fight_Club_(film)
Richard Baily,work,Image Savant,https://en.wikipedia.org/wiki/Fight_Club_(film)
Thom Yorke,pursue,1997,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,commission,Dust Brothers,https://en.wikipedia.org/wiki/Fight_Club_(film)
Dust Brothers,want,Michael Simpson,https://en.wikipedia.org/wiki/Fight_Club_(film)
Where Is My Mind,feature,December 1998,https://en.wikipedia.org/wiki/Fight_Club_(film)
Art Linson,recall,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,slat,"July 1999,[61",https://en.wikipedia.org/wiki/Fight_Club_(film)
autumn,delay,summer,https://en.wikipedia.org/wiki/Fight_Club_(film)
Columbine High School,attribute,earlier in the year.[63,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,refuse,Pitt,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,consider,Fox,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,think,two,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,advertise,World Wrestling Federation,https://en.wikipedia.org/wiki/Fight_Club_(film)
Linson,believe,one,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club's,run,56th,https://en.wikipedia.org/wiki/Fight_Club_(film)
American,predict,the National Research Group,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,open,the United States,https://en.wikipedia.org/wiki/Fight_Club_(film)
first,rank,weekend,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,be,61%,https://en.wikipedia.org/wiki/Fight_Club_(film)
the second weekend,drop,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
US$37 million,gross,the United States,https://en.wikipedia.org/wiki/Fight_Club_(film)
North American,sour,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
18,assign,UK,https://en.wikipedia.org/wiki/Fight_Club_(film)
BBFC,censor,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
two,restore,UK,https://en.wikipedia.org/wiki/Fight_Club_(film)
February 2024,lower,BBFC,https://en.wikipedia.org/wiki/Fight_Club_(film)
"June 6, 2000",release,one,https://en.wikipedia.org/wiki/Fight_Club_(film)
four,include,This is Your Life,https://en.wikipedia.org/wiki/Fight_Club_(film)
Julie Markell,mean,20th Century Fox's,https://en.wikipedia.org/wiki/Fight_Club_(film)
Deborah Mitchell,have,20th Century Fox's,https://en.wikipedia.org/wiki/Fight_Club_(film)
first,be,the THX Optimode.[81,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,win,2000,https://en.wikipedia.org/wiki/Fight_Club_(film)
Entertainment Weekly,rank,two,https://en.wikipedia.org/wiki/Fight_Club_(film)
more than 6 million,sell,"the first ten years,[85",https://en.wikipedia.org/wiki/Fight_Club_(film)
the United States,generate,Canada,https://en.wikipedia.org/wiki/Fight_Club_(film)
"October 31, 2000",release,20th Century Fox's,https://en.wikipedia.org/wiki/Fight_Club_(film)
"Behind the Brawl"".[88",include,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
Five,commission,30,https://en.wikipedia.org/wiki/Fight_Club_(film)
Never Been Kissed,open,Drew Barrymore,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,get,Barrymore,https://en.wikipedia.org/wiki/Fight_Club_(film)
China,censor,Tencent,https://en.wikipedia.org/wiki/Fight_Club_(film)
Weeks later,release,Tencent,https://en.wikipedia.org/wiki/Fight_Club_(film)
Chuck Palahniuk,believe,October 2024,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,release,4K,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,debate,56th,https://en.wikipedia.org/wiki/Fight_Club_(film)
A Clockwork Orange,express,Britain,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,call,the 1990s,https://en.wikipedia.org/wiki/Fight_Club_(film)
The Australian,state,Christopher Goodwin,https://en.wikipedia.org/wiki/Fight_Club_(film)
Janet Maslin,praise,The New York Times,https://en.wikipedia.org/wiki/Fight_Club_(film)
Roger Ebert,give,the Chicago Sun-Times,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,state,the Conference on World Affairs,https://en.wikipedia.org/wiki/Fight_Club_(film)
Jay Carr,opine,The Boston Globe,https://en.wikipedia.org/wiki/Fight_Club_(film)
Newsweek,describe,David Ansen,https://en.wikipedia.org/wiki/Fight_Club_(film)
Richard Schickel,enforce,Time,https://en.wikipedia.org/wiki/Fight_Club_(film)
Schickel,applaud,Pitt,https://en.wikipedia.org/wiki/Fight_Club_(film)
Alexander Walker's,claim,the London Evening Standard,https://en.wikipedia.org/wiki/Fight_Club_(film)
SA,echo,SS,https://en.wikipedia.org/wiki/Fight_Club_(film)
Metacritic,survey,36,https://en.wikipedia.org/wiki/Fight_Club_(film)
67,give,100,https://en.wikipedia.org/wiki/Fight_Club_(film)
Rotten Tomatoes,survey,185,https://en.wikipedia.org/wiki/Fight_Club_(film)
7.4,determine,10,https://en.wikipedia.org/wiki/Fight_Club_(film)
81%,give,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
the 2000 Academy Award,nominate,Best Sound Editing,https://en.wikipedia.org/wiki/Fight_Club_(film)
Bonham Carter,win,the 2000 Empire Award,https://en.wikipedia.org/wiki/Fight_Club_(film)
The Online Film Critics Society,nominate,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,list,ten,https://en.wikipedia.org/wiki/Fight_Club_(film)
a BRIT Award,nominate,Notting Hill.[119,https://en.wikipedia.org/wiki/Fight_Club_(film)
1999,recognize,Magnolia,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club's,become,David Ansen,https://en.wikipedia.org/wiki/Fight_Club_(film)
Palahniuk,report,Fight Club's,https://en.wikipedia.org/wiki/Fight_Club_(film)
"A ""Gentleman's Fight Club",start,Menlo Park,https://en.wikipedia.org/wiki/Fight_Club_(film)
Texas,initiate,New Jersey,https://en.wikipedia.org/wiki/Fight_Club_(film)
2006,injure,Arlington,https://en.wikipedia.org/wiki/Fight_Club_(film)
Luke Helder,suspect,2002,https://en.wikipedia.org/wiki/Fight_Club_(film)
Helder,be,the United States,https://en.wikipedia.org/wiki/Fight_Club_(film)
"July 16, 2009",charge,17-year-old,https://en.wikipedia.org/wiki/Fight_Club_(film)
The New York City Police Department,report,"Project Mayhem"".[130",https://en.wikipedia.org/wiki/Fight_Club_(film)
Mars Hill Church,pick,Seattle,https://en.wikipedia.org/wiki/Fight_Club_(film)
Jessica Johnson,suggest,Driscoll,https://en.wikipedia.org/wiki/Fight_Club_(film)
GameSpot,be,Game Informer,https://en.wikipedia.org/wiki/Fight_Club_(film)
Jet Set Radio,inspire,2000,https://en.wikipedia.org/wiki/Fight_Club_(film)
2003,list,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
2004,vote,2006,https://en.wikipedia.org/wiki/Fight_Club_(film)
Total Film,rank,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
2007,select,Premiere,https://en.wikipedia.org/wiki/Fight_Club_(film)
2008,rank,Empire,https://en.wikipedia.org/wiki/Fight_Club_(film)
Empire,identify,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
2010,release,two,https://en.wikipedia.org/wiki/Fight_Club_(film)
Ferris Club,be,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
Ferris,portray,Tyler Durden,https://en.wikipedia.org/wiki/Fight_Club_(film)
second,gain,Jane Austen's,https://en.wikipedia.org/wiki/Fight_Club_(film)
2023,express,Fincher,https://en.wikipedia.org/wiki/Fight_Club_(film)
Nietzschean,add,Übermensch,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,see,Mojo,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,Club,1999,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club at the AFI Catalog of Feature Films,Club,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
Sragow,Sragow,Michael,https://en.wikipedia.org/wiki/Fight_Club_(film)
Laist,Laist,Randy,https://en.wikipedia.org/wiki/Fight_Club_(film)
Lim,Lim,Dennis,https://en.wikipedia.org/wiki/Fight_Club_(film)
Smith,Smith,1999,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club,commentary,David Fincher,https://en.wikipedia.org/wiki/Fight_Club_(film)
Said,Said,"April 19, 2003",https://en.wikipedia.org/wiki/Fight_Club_(film)
"April 30, 2008",retrieve,Smith,https://en.wikipedia.org/wiki/Fight_Club_(film)
Brad Pitt,Pitt,Edward Norton,https://en.wikipedia.org/wiki/Fight_Club_(film)
24,.,5,https://en.wikipedia.org/wiki/Fight_Club_(film)
Hobson,Hobson,Louis B.,https://en.wikipedia.org/wiki/Fight_Club_(film)
Slotek,Slotek,Jim,https://en.wikipedia.org/wiki/Fight_Club_(film)
Moses,Moses,Michael,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fighting Words: An interview with,Words,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
Waxman,Waxman,2005,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fleming,Fleming,Michael,https://en.wikipedia.org/wiki/Fight_Club_(film)
Thornton,hold,Horses,https://en.wikipedia.org/wiki/Fight_Club_(film)
"January 18, 2009",January,The Guardian,https://en.wikipedia.org/wiki/Fight_Club_(film)
Biskind,Biskind,Peter,https://en.wikipedia.org/wiki/Fight_Club_(film)
Petrikin,Petrikin,Chris,https://en.wikipedia.org/wiki/Fight_Club_(film)
Garrett,-,Stephen,https://en.wikipedia.org/wiki/Fight_Club_(film)
Schneller,Schneller,Johanna,https://en.wikipedia.org/wiki/Fight_Club_(film)
Brad Pitt,make,Edward Norton,https://en.wikipedia.org/wiki/Fight_Club_(film)
Nashawaty,Nashawaty,Chris,https://en.wikipedia.org/wiki/Fight_Club_(film)
Brad Pitt,lose,Fight,https://en.wikipedia.org/wiki/Fight_Club_(film)
Fincher,want,Garofalo,https://en.wikipedia.org/wiki/Fight_Club_(film)
Janeane Garofalo,reveal,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
The Story Behind Fight Club,Story,gamesradar.com,https://en.wikipedia.org/wiki/Fight_Club_(film)
Sharf,Sharf,Zack,https://en.wikipedia.org/wiki/Fight_Club_(film)
Courtney Love,say,Fight Club,https://en.wikipedia.org/wiki/Fight_Club_(film)
Sarah Michelle Gellar,Gellar,Buffy,https://en.wikipedia.org/wiki/Fight_Club_(film)
Johnson,Johnson,Richard,https://en.wikipedia.org/wiki/Fight_Club_(film)
Magazine,Magazine,"October 4, 2020",https://en.wikipedia.org/wiki/Fight_Club_(film)
Fight Club Turns 20,turn,Jim Uhls,https://en.wikipedia.org/wiki/Fight_Club_(film)
